City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
0,Emerald,-23.5333,148.1667,57.34,100,100,4.61,AU,2022-08-30 18:17:55
1,Avera,33.194,-82.5271,86.56,52,59,4.0,US,2022-08-30 18:17:56
2,Cidreira,-30.1811,-50.2056,60.13,71,5,13.58,BR,2022-08-30 18:17:56
3,Sangmélima,2.9333,11.9833,69.15,96,88,1.83,CM,2022-08-30 18:17:56
4,Harper,4.375,-7.7169,77.67,77,40,11.03,LR,2022-08-30 18:17:57
5,Cape Town,-33.9258,18.4232,60.12,47,0,12.66,ZA,2022-08-30 18:16:13
6,Castro,-24.7911,-50.0119,57.78,63,79,11.3,BR,2022-08-30 18:17:57
7,Atuona,-9.8,-139.0333,77.2,67,42,25.26,PF,2022-08-30 18:17:58
8,Chimbote,-9.0853,-78.5783,67.87,69,64,11.63,PE,2022-08-30 18:17:58
9,Leh,34.1667,77.5833,63.45,41,8,6.13,IN,2022-08-30 18:17:59
10,Albany,42.6001,-73.9662,88.63,70,45,1.99,US,2022-08-30 18:16:47
11,Daru,-9.0763,143.2092,77.2,90,25,12.06,PG,2022-08-30 18:17:59
12,Qaqortoq,60.7167,-46.0333,44.2,72,30,19.06,GL,2022-08-30 18:18:00
13,Ushuaia,-54.8,-68.3,49.66,57,75,5.75,AR,2022-08-30 18:18:00
14,Tuktoyaktuk,69.4541,-133.0374,44.6,100,100,0.0,CA,2022-08-30 18:18:00
15,Carutapera,-1.195,-46.02,86.43,60,70,7.67,BR,2022-08-30 18:18:01
16,Nikolskoye,59.7035,30.7861,55.29,95,100,13.85,RU,2022-08-30 18:18:01
17,Khatanga,71.9667,102.5,39.79,89,100,3.18,RU,2022-08-30 18:18:02
18,Rikitea,-23.1203,-134.9692,73.53,82,30,11.05,PF,2022-08-30 18:18:02
19,Puerto Ayora,-0.7393,-90.3518,75.16,85,97,4.0,EC,2022-08-30 18:18:03
